_ts,@timestamp,TimeCreated,EventID,Hostname,Channel,Level,Task,Keywords,ProviderGuid,SourceName,UtcTime,ProcessGuid,ProcessId,Image,CommandLine,CurrentDirectory,SubjectUserName,Hashes,ParentProcessGuid,ParentProcessId,ParentImage,ParentCommandLine,IntegrityLevel,SubjectLogonId,LogonGuid,TerminalSessionId,TargetFilename,CreationUtcTime,EventType,TargetObject,Details,NewName,Protocol,Initiated,SourceIsIpv6,SourceIp,SourceHostname,SourcePort,SourcePortName,DestinationIsIpv6,DestinationIp,DestinationHostname,DestinationPort,DestinationPortName,ImageLoaded,Signed,Signature,SignatureStatus,Company,Product,Description,FileVersion,OriginalFileName,SourceProcessGuid,SourceProcessId,SourceThreadId,SourceImage,TargetProcessGuid,TargetProcessId,TargetImage,GrantedAccess,CallTrace,PipeName,QueryName,QueryStatus,QueryResults,RuleName,ClientId,_Source
1.78169E+12,,,,,,,,,,,2026-06-17 9:45:16, {f4ba3e13-6893-6a32-1100-000000002400},432,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,SetValue,HKU\S-1-5-21-1708988400-3611681687-2257486301-500\SOFTWARE\Microsoft\Windows NT\CurrentVersion\AppCompatFlags\Compatibility Assistant\Store\C:\Users\Administrator\Desktop\068af8016c36fce5cf1e1a4722c1dc0d6e02cb6ed58b61c2ba99a54d294cc274.exe,Binary Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,InvDB,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:45:28, {f4ba3e13-6cb8-6a32-b300-000000002400},2440,C:\Program Files\Windows Defender\MpCmdRun.exe,"""C:\Program Files\Windows Defender\\MpCmdRun.exe"" GetDeviceTicket -AccessKey DBCA9E83-C6B8-C8C3-1958-3DA8DE8A4EF9 ",C:\Windows\system32\,NT AUTHORITY\NETWORK SERVICE,"MD5=C37ADF3801F599EDF3180354BBAB2560,SHA256=1C90A322F55D574EF703B9CB0ADFB379CEFA33A2B5D72F04A6E9AAA2F209F6B5,IMPHASH=5F980D25420E31451E189C1082EF5045", {f4ba3e13-689c-6a32-2200-000000002400},1180,C:\Program Files\Windows Defender\MsMpEng.exe,"""C:\Program Files\Windows Defender\MsMpEng.exe""",System,0x3E4, {f4ba3e13-6890-6a32-e403-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Microsoft Malware Protection Command Line Utility,4.10.14393.0 (rs1_release.160715-1616),MpCmdRun.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:46:45, {f4ba3e13-6d05-6a32-b500-000000002400},2660,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs,C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=36F670D89040709013F6A460176767EC,SHA256=438B6CCD84F4DD32D9684ED7D58FD7D1E5A75FE3F3D12AB6C788E6BB0FFAD5E7,IMPHASH=2CED93915677390B76EE1916B92F3EF6", {f4ba3e13-6ce6-6a32-b400-000000002400},4884,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Host Process for Windows Services,10.0.14393.0 (rs1_release.160715-1616),svchost.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:46:45, {f4ba3e13-6ce6-6a32-b400-000000002400},4884,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:46:45, {f4ba3e13-6d05-6a32-b500-000000002400},2660,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icanhazip.com,0,::ffff:192.169.34.199;,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:48:08, {f4ba3e13-6893-6a32-1400-000000002400},1064,C:\Windows\System32\svchost.exe,,,NT AUTHORITY\NETWORK SERVICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,icanhazip.com,0,192.169.34.199;,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:48:16, {f4ba3e13-6d60-6a32-ba00-000000002400},3992,C:\Windows\System32\svchost.exe,svchost.exe -k netsvcs,C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=36F670D89040709013F6A460176767EC,SHA256=438B6CCD84F4DD32D9684ED7D58FD7D1E5A75FE3F3D12AB6C788E6BB0FFAD5E7,IMPHASH=2CED93915677390B76EE1916B92F3EF6", {f4ba3e13-6d41-6a32-b600-000000002400},1172,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Host Process for Windows Services,10.0.14393.0 (rs1_release.160715-1616),svchost.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:48:16, {f4ba3e13-6d41-6a32-b600-000000002400},1172,C:\Users\Administrator\AppData\Roaming\winapp\057ae7005b25ebd4be0d0a3611b0cb0c5d01ba5dc47a50b1aa88a43c183bb163.exe,,,NT AUTHORITY\SYSTEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:49:36, {f4ba3e13-6db0-6a32-bd00-000000002400},5044,C:\Windows\servicing\TrustedInstaller.exe,C:\Windows\servicing\TrustedInstaller.exe,C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=09440FA30C020B4443391FAFCF4876E3,SHA256=208C7725F70C75D8C96CCAF5B22F83B8B1C66D8C9FFF48465B1C9F4A77425569,IMPHASH=ADD58937BFC44F19A4BE092C99370CF5", {f4ba3e13-687e-6a32-0a00-000000002400},668,C:\Windows\System32\services.exe,C:\Windows\system32\services.exe,System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Windows Modules Installer,10.0.14393.479 (rs1_release.161110-2025),TrustedInstaller.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
1.78169E+12,,,,,,,,,,,2026-06-17 9:49:36, {f4ba3e13-6db0-6a32-be00-000000002400},2148,C:\Windows\WinSxS\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.693_none_42ff55c9655f38bf\TiWorker.exe,C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_10.0.14393.693_none_42ff55c9655f38bf\TiWorker.exe -Embedding,C:\Windows\system32\,NT AUTHORITY\SYSTEM,"MD5=4E1F1311824BD84323DA62DECE642B62,SHA256=B6E333F2C1AA300E86F4E81A7A0E05734152F858F56AC0E008E3B104BE60DE74,IMPHASH=38FF53C1CCC1EE4C508C0F83A88C4E19", {f4ba3e13-688e-6a32-0c00-000000002400},884,C:\Windows\System32\svchost.exe,C:\Windows\system32\svchost.exe -k DcomLaunch,System,0x3E7, {f4ba3e13-6880-6a32-e703-000000000000},0,,,,,,,,,,,,,,,,,,,,,,,Microsoft Corporation,Microsoft® Windows® Operating System,Windows Modules Installer Worker,10.0.14393.693 (rs1_release.161220-1747),TiWorker.exe,,,,,,,,,,,,,,-,C.4f04b5de911bf0cd,C.4f04b5de911bf0cd
